url,tipo,status,finalUrl,canonical,robots,title,metaDescription,h1
"https://ofitodo.com/",home,200,"https://ofitodo.com/","https://ofitodo.com/","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","Mobiliario para Oficina en Aguascalientes | Ofitodo","Mobiliario para oficina de calidad, confort y diseño. Fabricantes en Aguascalientes con envíos a todo México.",""
"https://ofitodo.com/?s=escritorio",home,200,"https://ofitodo.com/?s=escritorio","","noindex, follow","Has buscado escritorio | Ofitodo","","SEARCH RESULTS FOR: ESCRITORIO"
"https://ofitodo.com/author/developer/",autor,200,"https://ofitodo.com/author/developer/","https://ofitodo.com/author/developer/","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","developer, Ofitodo","","AUTHOR: DEVELOPER"
"https://ofitodo.com/author/marketing/",autor,200,"https://ofitodo.com/author/marketing/","https://ofitodo.com/author/marketing/","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","marketing ofitodo, Ofitodo","","AUTHOR: MARKETING OFITODO"
"https://ofitodo.com/aviso-de-privacidad/",pagina/post,200,"https://ofitodo.com/aviso-de-privacidad/","https://ofitodo.com/aviso-de-privacidad/","index, follow, max-image-preview:large, max-video-preview:-1, nosnippet","Aviso de privacidad | Ofitodo","Ofitodo: Mobiliario para oficina, diseño y equipamiento. ¡Ofrecemos soluciones a gran número de mercados con diferentes líneas de negocio!","AVISO DE PRIVACIDAD DE COMERCIALIZADORA OFITODO."
"https://ofitodo.com/bancas-personalizadas-wwl/",pagina/post,200,"https://ofitodo.com/bancas-personalizadas-wwl/","https://ofitodo.com/bancas-personalizadas-wwl/","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","Bancas Personalizadas para WWL Mexico | Ofitodo","Conoce el proyecto de bancas personalizadas para WWL desarrollado por OFITODO con estructura metálica, plastimadera y distribución en diferentes estados de México.","OFITODO"
"https://ofitodo.com/blog/",pagina/post,200,"https://ofitodo.com/blog/","https://ofitodo.com/blog/","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","Blog | Ofitodo","",""
"https://ofitodo.com/carrito/",pagina/post,200,"https://ofitodo.com/producto/carrito-industrial-metalico/","https://ofitodo.com/producto/carrito-industrial-metalico/","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","Carrito metálico | Ofitodo","Carrito metálico industrial, ideal para entornos exigentes. Diseñado para una movilidad eficiente de herramientas y materiales.",""
"https://ofitodo.com/cart/",pagina/post,200,"https://ofitodo.com/cart/","https://ofitodo.com/cart/","noindex, follow","Carrito | Ofitodo","","CARRITO"
"https://ofitodo.com/categoria-producto/brokers/",categoria-producto,200,"https://ofitodo.com/categoria-producto/brokers/","https://ofitodo.com/categoria-producto/brokers/","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","Brokers | Ofitodo","","BROKERS"
"https://ofitodo.com/categoria-producto/escritorios/",categoria-producto,200,"https://ofitodo.com/categoria-producto/escritorios/","https://ofitodo.com/categoria-producto/escritorios/","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","Venta y Fabricación de Escritorios","Renueva tu oficina con nuestros escritorios, fabricamos muebles a tu medida elaborados con materiales altamente resistentes y duraderos. ¡Somos fabricantes!","ESCRITORIOS"
"https://ofitodo.com/categoria-producto/escritorios/escritorios-linea-alpha-ofitodo/",categoria-producto,200,"https://ofitodo.com/categoria-producto/escritorios/escritorios-linea-alpha-ofitodo/","https://ofitodo.com/categoria-producto/escritorios/escritorios-linea-alpha-ofitodo/","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","Línea Alpha | Ofitodo","Escritorios con diseños modernos, elaborados con excelentes materiales. ¡Elige el ideal para tu espacio!","LÍNEA ALPHA"
"https://ofitodo.com/categoria-producto/escritorios/escritorios-linea-altezza-ofitodo/",categoria-producto,200,"https://ofitodo.com/categoria-producto/escritorios/escritorios-linea-altezza-ofitodo/","https://ofitodo.com/categoria-producto/escritorios/escritorios-linea-altezza-ofitodo/","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","Línea Altezza | Ofitodo","Escritorios de altura ajustable línea Altezza, encuentra aquí los diseños más modernos, versátiles, resistentes y de la mejor calidad. ¡Elige el tuyo!","LÍNEA ALTEZZA"
"https://ofitodo.com/categoria-producto/escritorios/escritorios-linea-chrome-ofitodo/",categoria-producto,200,"https://ofitodo.com/categoria-producto/escritorios/escritorios-linea-chrome-ofitodo/","https://ofitodo.com/categoria-producto/escritorios/escritorios-linea-chrome-ofitodo/","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","Línea Chrome | Ofitodo","Escritorios con estructura metálica línea chrome, encuentra variedad de diseños y colores. Modernos, cómodos y durables. ¡Nos adecuamos a tus necesidades!","LÍNEA CHROME"
"https://ofitodo.com/categoria-producto/escritorios/escritorios-linea-conic-ofitodo/",categoria-producto,200,"https://ofitodo.com/categoria-producto/escritorios/escritorios-linea-conic-ofitodo/","https://ofitodo.com/categoria-producto/escritorios/escritorios-linea-conic-ofitodo/","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","Línea de escritorios Conic | Ofitodo","Escritorios para entornos ejecutivos y secretariales, ¡Dale un toque de elegancia a tu espacio de trabajo! fabricados con materiales de alta calidad.","LÍNEA CONIC"
